OBJECTID_;WardID_;WardNo_;HVI_PC1;HVI_weighted;HVI_PC1_standardized;HVI_weighted_standardized
2431;79800042;42;-1.40387838516684;-0.41233747191332015;0.2994848686034866;0.34386316773163567
2432;79800043;43;-1.4475060973467475;-0.02121348682728289;0.29513689468792986;0.4502738788693375
2433;79800044;44;-1.908050295132288;-0.4793095182848281;0.24923867864865873;0.32564249256856265
2434;79800045;45;-2.55952886539682;-0.5728921465696916;0.18431178497214526;0.30018203909180385
2435;79800046;46;-1.463651509913716;-0.21745665208053855;0.29352782950459866;0.3968832008061681
2436;79800047;47;-2.0291105808761274;-0.11667643852161652;0.23717371034471738;0.4243018572995952
2437;79800048;48;-2.54945196600702;-0.39640633254985047;0.18531605710807258;0.34819745540905267
2438;79800049;49;-1.1838952215090972;-0.14659198772467896;0.3214085728193134;0.41616291674325845
2439;79800050;50;-2.3126510447791855;-0.523493859594269;0.2089158329668812;0.31362152898880596
2440;79800051;51;-2.172846858886978;-0.08331184667904169;0.22284883387782317;0.43337915779807157
2441;79800052;52;-2.328192954820569;-0.34857296714481467;0.20736691334489413;0.3612111866629407
2442;79800053;53;-2.80590504842728;-0.8940209770806941;0.15975773059465656;0.21281448168164552
2443;79800054;54;3.4593208190421536;0.9532866567393745;0.7841553275737201;0.7154001744554028
2444;79800055;55;2.130656823762645;0.9334723962767477;0.6517395737933677;0.7100094297634557
2445;79800056;56;1.8737930534060947;0.6006358967197926;0.6261403177802094;0.6194566384212217
2446;79800057;57;1.4988921269040987;0.5201763811678725;0.588777381061757;0.5975665099858831
2447;79800058;58;1.706261681927243;0.7580761908816589;0.6094440025981595;0.6622904566024511
2448;79800059;59;-1.1152385760228019;-0.17222424795546654;0.32825095094982465;0.4091893044279085
2449;79800060;60;-0.29490017075048164;-0.19668742352490187;0.41000655558352667;0.40253375782813294
2450;79800061;61;-1.608853941654282;-0.6750039310883477;0.27905683494316147;0.27240111022910635
2451;79800062;62;0.14492323070765273;0.30417368664448924;0.4538397199059072;0.5387999776116621
2452;79800063;63;-1.1167544137155736;-0.16268447840164776;0.3280998813103897;0.4117847312005427
2453;79800064;64;1.0007811300952687;0.4219754148711771;0.5391352267299928;0.5708495735245659
2454;79800065;65;-2.0960815299098616;-0.7253438548530926;0.23049933011826895;0.2587054349683681
2455;79800066;66;0.8922694997453651;0.47727765632744157;0.5283208678117362;0.5858953162180893
2456;79800067;67;3.0639861337233953;1.2851124060948123;0.7447559455343284;0.8056779771704311
2457;79800068;68;-1.272906298621882;-0.40789658269601875;0.312537655181321;0.34507137330765736
2458;79800069;69;2.3210568207009348;0.700258890444299;0.6707149951218102;0.6465604571899929
2459;79800070;70;2.547006037913356;0.8708172953063449;0.6932332811742363;0.6929632395401727
2460;79800071;71;3.256031709143456;1.180872578562908;0.7638953665766509;0.7773180846568045
2461;79800072;72;4.838283819170575;1.6116595695608242;0.921583921820235;0.894519667297857
2462;79800073;73;4.69453722837288;1.69356259451125;0.9072580175724657;0.9168025225090675
2463;79800074;74;4.192113432706903;1.3411845725726468;0.857186046136;0.820933188656951
2464;79800075;75;-2.995709339639427;-1.1182629253515524;0.14084167779207066;0.15180634591836112
2465;79800076;76;-2.7373090907008515;-1.074511430523951;0.16659406053277565;0.163709547602396
2466;79800077;77;-3.326773239412754;-1.1816392320475286;0.10784757545039776;0.1345639416630546
2468;79800079;79;-3.3815117540079647;-1.3588631999515743;0.10239228976741599;0.08634770033189115
2469;79800080;80;-3.0822285693719893;-1.3033756107547998;0.13221909972701018;0.10144386945188671
2470;79800081;81;2.3473841536446653;0.4915582922761354;0.673338798919577;0.5897805615232702
2471;79800082;82;0.31557283724751684;0.07848435527870469;0.47084680097574766;0.4773980611796061
2472;79800083;83;4.006790549914745;1.227636644181192;0.8387166142067417;0.790040898055827
2473;79800084;84;2.8669959640512164;0.9825175423929704;0.7251237421351735;0.7233528427861363
2474;79800085;85;3.165507129944254;0.8736967655552115;0.7548736120676864;0.6937466394045771
2475;79800086;86;3.0182197110568745;0.9066924027884932;0.7401948259610215;0.7027235606784357
2476;79800087;87;5.625113307007062;1.9993638488910843;1.0;1.0
2477;79800088;88;5.039497777081827;1.6026256899327385;0.9416370714522014;0.8920618749041087
2478;79800089;89;3.7750991331990233;1.1524178110342531;0.8156260557978069;0.7695765700388347
2479;79800090;90;4.8072079923263;1.5350069660635914;0.9184868791890265;0.8736652621482915
2480;79800091;91;2.553984778904089;0.6919910848691421;0.6939287882791243;0.6443110858797493
2481;79800092;92;-1.128891978756472;-0.7149704605703928;0.3268902415296335;0.261527660923882
2482;79800093;93;3.487983346671853;0.9343473461210093;0.7870118588072155;0.7102474720177993
2483;79800094;94;3.649928203848344;0.6899877187666477;0.8031514173487755;0.6437660423136057
2484;79800095;95;-2.7982035231206672;-1.4806313990960642;0.16052527098286362;0.05321897092893174
2485;79800096;96;-0.7809453821229478;-0.811302777603684;0.3615668874177038;0.23531911644200848
2486;79800097;97;3.2528457196221705;0.7944790119349325;0.7635778482232551;0.6721943495453633
2487;79800098;98;3.682048041908698;0.9242085030746408;0.806352507002123;0.7074890589830162
2488;79800099;99;4.448353105249986;1.7043521743867236;0.8827231040443728;0.9197379775340861
2489;79800100;100;-0.17744476949632926;-0.42783102599053996;0.42171225811471513;0.3396479312074815
2490;79800101;101;4.279105438113475;1.3615221731159979;0.8658557414161467;0.8264663152847554
2491;79800102;102;3.4623437167657993;0.8706773315164962;0.784456592063538;0.6929251604476618
2492;79800103;103;4.660365634975317;1.3905087408745358;0.9038524482835485;0.8343525135396354
